	nentry	muentry	sdentry	noincrease	betagrowth	betagrowth_se	alphagrowth	siggrowth	betaexit	beta2exit	alphaexit	nend	muend	sigend	nout	muout	sigout	nint	muint	sigint	
r1	   29.000000000	   62.969655004	    4.722494342	    0.011560694	   -0.003121357	    0.001391296	   -2.499827680	    0.452883658	    0.000457266	    0.069306931	   88.375366626	  188.000000000	   88.013585375	   25.094265136	   14.000000000	   93.233572006	   48.539762797	  173.000000000	   92.634127534	   27.093965494	
r1	   15.000000000	   65.323333232	    6.230279407	    0.010638298	    0.000159598	    0.001360292	   -2.883497888	    0.437208709	   -0.001931250	    0.093596066	   91.416980386	  184.000000000	   92.947918602	   26.820436573	   19.000000000	   76.591052407	   23.111043773	  188.000000000	   93.498920319	   26.797791314	
r1	   24.000000000	   66.440416495	    7.598412863	    0.000000000	   -0.003948352	    0.001511048	   -2.446233587	    0.497283865	   -0.000049712	    0.076923077	   95.585509704	  192.000000000	   95.628729324	   27.601579507	   16.000000000	   95.066874266	   37.778652326	  184.000000000	   99.387043600	   27.910118115	
r1	   24.000000000	   68.285166740	    4.826252679	    0.000000000	   -0.002386641	    0.001680883	   -2.800011770	    0.583672852	   -0.000464741	    0.064814815	   97.658111272	  202.000000000	   98.082762520	   29.750412885	   14.000000000	   91.531000410	   21.680564483	  192.000000000	  101.329729338	   29.010252575	
r1	   25.000000000	   69.603600159	    4.970302709	    0.009900990	   -0.004163291	    0.001480310	   -2.696420715	    0.556814254	    0.000637717	    0.092511012	   99.590165428	  206.000000000	   98.924992015	   29.554184703	   21.000000000	  106.115199861	   41.729229028	  202.000000000	  103.301374001	   30.665432936	
r1	   17.000000000	   72.298823637	    6.698305768	    0.000000000	   -0.006129809	    0.001993376	   -2.730389108	    0.732324858	   -0.001159901	    0.058295961	  101.444539468	  210.000000000	  102.566772715	   30.527740069	   13.000000000	   83.316156241	   17.952483535	  206.000000000	  103.849768444	   30.188811732	
r1	   18.000000000	   73.775555505	    7.475820715	    0.004761905	   -0.000566078	    0.001876135	   -3.217690849	    0.701831997	    0.000161752	    0.065789474	  105.055523320	  213.000000000	  104.874536649	   30.612421084	   15.000000000	  107.625534058	   53.153152153	  210.000000000	  107.736663419	   32.315551653	
r1	   28.000000000	   72.955607006	    5.768631142	    0.000000000	   -0.005249654	    0.001947768	   -2.697563579	    0.727797572	   -0.001053431	    0.099585061	  106.212698845	  217.000000000	  107.391872881	   32.033393854	   24.000000000	   95.551000277	   28.150674330	  213.000000000	  110.584523125	   31.244912415	
r1	   14.000000000	   73.072142465	    5.186989303	    0.046082949	   -0.001570212	    0.001524100	   -2.946178093	    0.576325204	    0.000000000	    0.000000000	  110.573818917	  231.000000000	  110.573818917	   33.901523118	    0.000000000	    0.000000000	    0.000000000	  217.000000000	  112.993281914	   33.543280065	
r1	  126.000000000	   45.523491996	    6.742386454	    0.000000000	    0.000000000	    0.000000000	    0.000000000	    0.000000000	    0.015298645	    0.126984110	   45.523491996	  110.000000000	   44.733181832	    5.811422788	   16.000000000	   50.956874371	    9.866453160	    0.000000000	 9999.000000000	 9999.000000000	
r1	   28.000000000	   42.481785910	    4.219492801	    0.009090909	   -0.014720310	    0.004255400	   -1.351610535	    0.443174272	   -0.000380642	    0.043478260	   47.542753690	  132.000000000	   47.558333426	    6.291485413	    6.000000000	   47.199999491	    6.583211901	  110.000000000	   48.831000033	    6.074715008	
r1	   24.000000000	   50.303333600	    2.395122932	    0.000000000	   -0.023107968	    0.002645488	   -0.077851683	    0.309464184	    0.001023219	    0.038461537	   54.348397475	  150.000000000	   54.314400050	    5.709406971	    6.000000000	   55.198333104	    4.947348860	  132.000000000	   55.083863634	    5.787488205	
